category,costs
0,1650.0
1520,0.0
1711,0.0
1731,0.0
1740,0.0
1750,0.0
1761,0.0
1771,0.0
1799,0.0
2741,0.0
2791,0.0
2842,0.0
3000,0.0
3351,0.0
3501,0.0
3800,0.0
3830,0.0
3831,0.0
4011,0.0
4111,0.0
4112,0.0
4119,0.0
4121,0.0
4131,0.0
4214,0.0
4215,0.0
4225,0.0
4411,0.0
4457,0.0
4468,0.0
4511,0.0
4582,0.0
4722,0.0
4723,0.0
4784,0.0
4789,0.0
4812,0.0
4813,0.0
4814,2543.0
4816,0.0
4821,0.0
4829,0.0
4899,0.0
4900,0.0
5013,0.0
5021,0.0
5039,0.0
5044,0.0
5045,0.0
5046,0.0
5047,0.0
5051,0.0
5065,0.0
5072,0.0
5074,0.0
5085,0.0
5094,0.0
5099,0.0
5111,0.0
5122,0.0
5131,0.0
5137,0.0
5139,0.0
5169,0.0
5172,0.0
5192,0.0
5193,0.0
5198,0.0
5199,0.0
5200,0.0
5211,0.0
5231,0.0
5251,0.0
5261,0.0
5271,0.0
5300,0.0
5309,0.0
5310,8573.199999999999
5411,4567.0
5422,0.0
5441,0.0
5451,0.0
5462,0.0
5499,9495.039999999997
5511,0.0
5521,0.0
5531,0.0
5532,0.0
5533,1144.5
5541,3841.32
5542,0.0
5551,0.0
5561,0.0
5571,0.0
5592,0.0
5598,0.0
5599,0.0
5611,0.0
5621,0.0
5631,0.0
5641,0.0
5651,0.0
5655,0.0
5661,0.0
5681,0.0
5691,240.0
5697,0.0
5698,0.0
5699,0.0
5712,0.0
5713,0.0
5714,0.0
5718,0.0
5719,390.5
5722,172.0
5732,320.0
5733,0.0
5734,0.0
5735,0.0
5811,0.0
5812,0.0
5813,0.0
5814,0.0
5815,0.0
5912,1795.0
5921,0.0
5931,0.0
5932,0.0
5933,0.0
5935,0.0
5937,0.0
5940,0.0
5941,0.0
5942,0.0
5943,0.0
5944,0.0
5945,0.0
5946,0.0
5947,0.0
5948,0.0
5949,0.0
5950,0.0
5960,0.0
5962,0.0
5963,0.0
5964,0.0
5965,0.0
5967,0.0
5968,0.0
5969,0.0
5970,0.0
5971,0.0
5972,0.0
5973,0.0
5975,0.0
5976,0.0
5977,0.0
5978,0.0
5983,0.0
5992,0.0
5993,0.0
5994,0.0
5995,0.0
5996,0.0
5997,0.0
5998,0.0
5999,0.0
6050,0.0
6051,0.0
6211,0.0
6300,0.0
6513,0.0
6533,0.0
6536,0.0
6540,0.0
7012,0.0
7032,0.0
7033,0.0
7210,0.0
7211,0.0
7216,0.0
7217,0.0
7221,0.0
7230,0.0
7251,0.0
7261,0.0
7273,0.0
7276,0.0
7277,0.0
7278,0.0
7296,0.0
7297,0.0
7298,0.0
7299,0.0
7311,0.0
7321,0.0
7333,0.0
7338,0.0
7339,0.0
7342,0.0
7349,0.0
7361,0.0
7372,0.0
7375,0.0
7379,0.0
7392,0.0
7393,0.0
7394,0.0
7395,0.0
7399,0.0
742,0.0
7512,0.0
7513,0.0
7519,0.0
7523,0.0
7531,0.0
7534,0.0
7535,0.0
7538,0.0
7542,0.0
7549,0.0
7622,0.0
7623,0.0
7629,0.0
763,0.0
7631,0.0
7641,0.0
7692,0.0
7699,0.0
780,0.0
7829,0.0
7832,0.0
7841,0.0
7911,0.0
7922,0.0
7929,0.0
7932,0.0
7933,0.0
7941,0.0
7991,0.0
7992,0.0
7993,0.0
7994,0.0
7995,0.0
7996,0.0
7997,0.0
7998,0.0
7999,0.0
8011,0.0
8021,0.0
8031,0.0
8041,0.0
8042,0.0
8043,0.0
8049,0.0
8050,0.0
8062,0.0
8071,0.0
8099,0.0
8111,0.0
8211,0.0
8220,0.0
8241,0.0
8244,0.0
8249,0.0
8299,0.0
8351,0.0
8398,0.0
8641,0.0
8651,0.0
8661,0.0
8675,0.0
8699,0.0
8734,0.0
8911,0.0
8931,0.0
8999,0.0
9211,0.0
9222,0.0
9311,0.0
9399,0.0
9402,0.0
9405,0.0
